source_host,url,canonical_url,title,description,start_date,end_date,venue,address,city_guess,price,currency,image,images,organizer,tags,scraped_at
www.district.in,https://www.district.in/events/rakesh-chaurasia/artist,https://www.district.in/events/rakesh-chaurasia/artist,"Rakesh Chaurasia Shows, Tickets and More. Follow Now!","Rakesh Chaurasia (b. 1971, Allahabad) is a Grammy-winning Indian flautist of the bansuri and nephew of maestro Hariprasad Chaurasia. A prodigy groomed in the Kirana tradition, he blends classical purity with global fusions—jugalbandis, jazz, flamenco. He’s toured worldwide, earned multiple prestigious awards, and secured two Grammys in 2024.",,,,,,,,"https://media.insider.in/image/upload/c_crop,g_custom/v1751447578/a5cd81b6knh2v0kjuh6u.jpg","[""https://media.insider.in/image/upload/c_crop,g_custom/v1751447578/a5cd81b6knh2v0kjuh6u.jpg""]",,,2026-05-17T11:02:38.714Z
www.district.in,https://www.district.in/events/mukul_sharma/artist,https://www.district.in/events/mukul_sharma/artist,"Mukul Sharma Shows, Tickets and More. Follow Now!","Mukul Sharma isn’t just a singer—he’s a storyteller. With every lyric and every note, he weaves emotions into melodies that resonate far beyond the stage. Recently, he celebrated performing to a sold-out audience of 1,000 people, calling it “not just a show, but love, poetry, and us.",,,,,,,,"https://media.insider.in/image/upload/c_crop,g_custom/v1758264530/qott63ml1d54jwxq6ysm.png","[""https://media.insider.in/image/upload/c_crop,g_custom/v1758264530/qott63ml1d54jwxq6ysm.png""]",,,2026-05-17T11:02:38.831Z
www.district.in,https://www.district.in/events/purbayan-chatterjee/artist,https://www.district.in/events/purbayan-chatterjee/artist,"Purbayan Chatterjee Shows, Tickets and More. Follow Now!","Purbayan Chatterjee is one of the most revered sitar maestros of the world, and belongs to the Senia Maihar Gharana founded by Baba Alauddin Khan. His gurus are his father Pt. Parthapratim Chatterjee, Ustad Ali Akbar Khan, and he’s undergone vocal training from Pt. Ajay Chakraborty and training in tabla from Pt. Arindo Chatterjee. 

Among the list of awards that he has received there is the Indian president awards, Aditya Vikram Birla award, Rotary international award, in addition to many other prestigious awards. 

Purbayan&#x27;s music is inspired by the sound of Pt. Nikhil Banerjee. His music combines the tone and richness of the Nikhil Banerjee style and a contemporary touch of his own urbane sensitivity. He has conceptualised the ground-breaking project Shastriya Syndicate - the first Indian Classical Band - with a contemporary touch, which has
performed all over the world. Their album ‘Lehar’ released by Times Music in 2008
remained the best-seller for a year and a half.

Purbayan regularly collaborates with the likes of Shankar Mahadevan, Ustad Zakir
Hussain and the jazz legend Pat Metheny. He also has several international albums to his credit, apart from many classical albums on top record labels of the world. His albums ‘Leher’ and ‘Stringstruck’ have received several awards and have been celebrated worldwide. 

Today he is one of the most sought-after musicians in the country and a global
ambassador for Indian classical music.",,,,,,,,"https://media.insider.in/image/upload/c_crop,g_custom/v1732166519/vjni9dnfoyirwmnaryaz.jpg","[""https://media.insider.in/image/upload/c_crop,g_custom/v1732166519/vjni9dnfoyirwmnaryaz.jpg""]",,,2026-05-17T11:02:38.983Z
www.district.in,https://www.district.in/events/abijit-ganguly/artist,https://www.district.in/events/abijit-ganguly/artist,"Abijit Ganguly Shows, Tickets and More. Follow Now!","A Bengali living in Delhi, Abijit Ganguly&#x27;s humor tackles the most mundane Indian problems like parents, pressure of getting married and buying condoms in the most unapologetic way. The bi-lingual comedian performs in both Hindi and English, is over 2000 shows old and NDTV has repeatedly named him as one of the Rising Stars of Comedy in India. When he is not packing venues on comedy nights or doing corporate shows, the Delhi School of Economics graduate poses as a brand consultant to major multi-corporations like Woo, Sprite, Culture Machine and OYO Rooms, and also as a freelance writer. The comedian has appeared on various TedX Talks, dishing gyan about being on stage, following dreams, and earning your bread in the process.",,,,,Delhi,,,"https://media.insider.in/image/upload/c_crop,g_custom/v1732156603/mdlaf4s0bl3brc0isq8a.jpg","[""https://media.insider.in/image/upload/c_crop,g_custom/v1732156603/mdlaf4s0bl3brc0isq8a.jpg""]",,,2026-05-17T11:02:39.185Z
www.district.in,https://www.district.in/events/atul-khatri/artist,https://www.district.in/events/atul-khatri/artist,"Atul Khatri Shows, Tickets and More. Follow Now!","Can businessmen be funny? Yes. Meet Atul Khatri, a middle-aged businessman-turned-comedian who now makes a living making people laugh harder than they ever have. A former member of one of the country&#x27;s leading comedy collectives, East India Comedy, Atul has often been spotted on their YouTube series like EIC Outrage, and specials such as EIC vs Bollywood. Bringing his 40+-year-old perspective with every show, he performs regularly at comedy clubs and does private shows in India and abroad. The comedian has showcased his skills at the prestigious Utrecht International Comedy Festival in the Netherlands and Belgium, and at the 8th Annual Hong Kong International Comedy Festival in 2014. CNN-IBN recently rated him as one of the Top 20 Comedians in India to Watch Out For, post winning the competition CEOs Got Talent.",,,,,,,,"https://media.insider.in/image/upload/c_crop,g_custom/v1732168330/o3ke8o6pmuuhweto1iip.jpg","[""https://media.insider.in/image/upload/c_crop,g_custom/v1732168330/o3ke8o6pmuuhweto1iip.jpg""]",,,2026-05-17T11:02:39.266Z
www.district.in,https://www.district.in/events/akshay-srivastava/artist,https://www.district.in/events/akshay-srivastava/artist,"Akshay Srivastava Shows, Tickets and More. Follow Now!","Akshay Srivastava is a freedom fighter who fought for his freedom from his parents and is now looking for accommodation in Mumbai. The professional banker serves in a very respectful position of sending OTPs to people. He has performed in avenues like CLC, Comic-Con, The Habitat, Good Night India [Sab TV] to name a few and worked his ass off to make the bio look like a Resume. All the HRs reading this, feel free to reach him.",,,,,Mumbai,,,"https://media.insider.in/image/upload/c_crop,g_custom/v1654675061/mzhinyesvpc9sqtgimk1.png","[""https://media.insider.in/image/upload/c_crop,g_custom/v1654675061/mzhinyesvpc9sqtgimk1.png""]",,,2026-05-17T11:02:39.235Z
www.district.in,https://www.district.in/events/dj-omiki/artist,https://www.district.in/events/dj-omiki/artist,"DJ Omiki Shows, Tickets and More. Follow Now!",,,,,,,,,"https://media.insider.in/image/upload/c_crop,g_custom,q_auto/v1778855191/va8wafpmqqvspymwgoqd.jpg","[""https://media.insider.in/image/upload/c_crop,g_custom,q_auto/v1778855191/va8wafpmqqvspymwgoqd.jpg""]",,,2026-05-17T11:02:39.360Z
www.district.in,https://www.district.in/events//,https://www.district.in/events/,Get Upcoming Events Tickets & Enjoy Live Events | District,"Discover and book tickets for upcoming events effortlessly. Secure your spot for music, plays, workshops, comedy shows, and more on District.in",,,,,,,,https://b.zmtcdn.com/data/edition_assets/1731516000703.png,"[""https://b.zmtcdn.com/data/edition_assets/1731516000703.png""]",,,2026-05-17T11:02:39.852Z
www.district.in,https://www.district.in/dining/,https://www.district.in/dining/,Dining | District,"Discover the best dining experiences in your city. Explore restaurants, cafes, bars, and more.",,,,,,,,https://b.zmtcdn.com/data/edition_assets/1731516000703.png,"[""https://b.zmtcdn.com/data/edition_assets/1731516000703.png""]",,,2026-05-17T11:02:39.649Z
www.district.in,https://www.district.in/movies/,https://www.district.in/movies/,Book Movie Tickets Online in India | District by Zomato,"Book movie tickets online across India on District by Zomato. Find your next film, pick your seat and book in seconds — instant, secure and easy.",,,,,,,,https://b.zmtcdn.com/data/edition_assets/1731516000703.png,"[""https://b.zmtcdn.com/data/edition_assets/1731516000703.png""]",,,2026-05-17T11:02:39.734Z
www.district.in,https://www.district.in///,https://www.district.in/,"District by Zomato: Movies, Events, Dining, Sports & Concerts Nearby","Discover life in your District - movies, restaurants, live shows, comedy gigs, sports, and more. Download the District app now for real-time updates.",,,,,,,,https://b.zmtcdn.com/data/edition_assets/1731516000703.png,"[""https://b.zmtcdn.com/data/edition_assets/1731516000703.png""]",,,2026-05-17T11:02:40.349Z
